Model,Accuracy,Balanced Acc,F1 (Weighted),F1 (Binary),Precision,Recall,ROC-AUC,PR-AUC,Training Time (s)
LSTM-AE,0.9695881787412256,0.97155122273347,0.9704890246669247,0.9819550893337168,0.9954939110760427,0.9687795852285869,0.9925235185519138,0.9988009211350101,707.1741647720337
Conv-AE,0.9939078653762362,0.9863430497320025,0.9938990752260936,0.9964355958364298,0.995846303982607,0.9970255855298755,0.9987900336623953,0.9998124814971985,56.46490740776062
