Model,Type,Accuracy,F1 (weighted),Fault Detection Recall
XGBoost,Classifier,0.44685714285714284,0.516890733529642,0.8487394957983193
LSTM,Classifier,0.3314285714285714,0.37525699089676456,0.7815126050420168
LSTM-FCN,Classifier,0.3211428571428571,0.37093099306936267,0.8375350140056023
CNN-Transformer,Classifier,0.416,0.43680557561997657,0.7619047619047619
TransKal,Classifier,0.13257142857142856,0.12858802111636244,1.0
LSTM-Autoencoder,Anomaly Detector,0.472,0.606473594548552,0.9971988795518207
Conv-Autoencoder,Anomaly Detector,0.45257142857142857,0.5984911986588433,1.0
