Model,Accuracy,Balanced Acc,F1 (Weighted),F1 (Binary),Precision,Recall,ROC-AUC,PR-AUC,Training Time (s)
LSTM-AE,0.8990056762060291,0.7408024671894263,0.8921804012060963,0.9422245862314211,0.9212551674961179,0.9641708426489862,0.9419919881139411,0.9900309081484703,1.85923171043396
Conv-AE,0.905817500033009,0.7113236028487507,0.8927554370536674,0.947040100617201,0.911063272369889,0.9859751101491845,0.961893944997404,0.9935799196415365,1.98822021484375
