,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,151375,0,0,0,0,0,0,2,82,1,0,36,0,16,18,181,141,348
1,0,152181,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
2,0,0,152200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,152164,0,0,0,5,0,0,0,0,0,0,1,0,30,0
5,0,0,0,0,152200,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,152200,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,152200,0,0,0,0,0,0,0,0,0,0,0
8,126,211,136,0,0,0,2,151237,111,1,5,248,0,29,12,50,2,30
10,1288,0,0,0,0,0,0,1,150818,0,0,65,0,13,0,0,8,7
11,26,0,0,27,0,0,0,0,0,152147,0,0,0,0,0,0,0,0
12,0,0,0,0,198,0,0,4,43,0,146847,157,0,0,134,4817,0,0
13,1121,0,0,0,0,0,0,222,76,2,494,149956,0,29,42,254,0,4
14,0,0,0,0,0,0,0,0,0,0,0,0,152200,0,0,0,0,0
16,197,0,0,0,0,0,0,1,131,0,0,0,0,151864,0,0,4,3
17,882,0,0,0,0,0,0,1,3,0,1,3,0,0,151306,4,0,0
18,2452,0,0,0,0,0,0,0,3,0,1209,0,0,0,0,148535,0,1
19,77,0,0,0,0,0,3,0,9,1,0,0,0,3,0,0,152107,0
20,1412,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,4,150770
