Model,Raw Accuracy,HMM Accuracy,Improvement,Best Stickiness
XGBoost,0.93913125,0.9590253472222222,0.01989409722222224,0.95
LSTM,0.991376494604841,0.9914395596383785,6.306503353747939e-05,0.95
LSTM-FCN,0.993689954737918,0.9936943349394072,4.380201489184721e-06,0.7
CNN-Transformer,0.9919681393992418,0.992066200058326,9.806065908424255e-05,0.95
TransKal,0.9907898963352314,0.9908300481822164,4.015184698502594e-05,0.85
