,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,151994,0,0,0,0,0,0,6,12,0,0,129,0,122,4,70,27,36
1,0,152400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,152400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,152398,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,0,0,0,0,152400,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,152350,0,50,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,152400,0,0,0,0,0,0,0,0,0,0,0
8,115,61,62,0,0,0,0,151596,11,0,84,456,0,13,0,2,0,0
10,1752,0,0,0,2,0,0,18,150204,0,7,46,0,354,4,9,0,4
11,76,0,0,126,0,0,0,134,0,152007,0,10,0,47,0,0,0,0
12,0,58,0,0,177,0,0,294,18,0,142938,28,0,0,0,8887,0,0
13,1310,0,0,0,73,476,191,246,0,0,467,148560,0,39,61,974,0,3
14,0,0,0,0,0,0,0,0,0,0,0,0,152400,0,0,0,0,0
16,233,0,0,0,0,0,0,2,12,0,0,6,0,152145,0,2,0,0
17,1038,0,0,0,0,0,0,0,0,0,0,3,0,0,151358,1,0,0
18,2702,0,0,0,0,0,0,0,0,0,344,8,0,10,0,149336,0,0
19,277,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,152102,5
20,1836,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,150557
