Fault Class,XGBoost,LSTM,LSTM-FCN,CNN-Transformer,TransKal
0,0.5813404177756915,0.0,0.0,0.3041516049346943,0.0
1,0.983388642089391,0.9474783646672635,0.9534877164846248,0.9614626344959418,0.866182734963449
2,0.9861121993875702,0.9727975467961413,0.9818879731625889,0.9858520775515749,0.9563124993992368
4,0.9476420507294682,0.0,0.0,0.8106479379462967,0.0
5,0.9732731066254545,0.0,0.0,0.0,0.0
6,0.9998718729980156,0.9167396965685269,0.9922322944882865,0.951870414561268,0.9071511163561373
7,0.9983464771210573,0.0,0.0,0.0,0.0
8,0.8728302123625457,0.0,0.0,0.0,0.0
10,0.7102061435275071,0.0,0.0,0.28916637417681457,0.0
11,0.8237017143722252,0.18130375988341202,0.1868013849868117,0.9332467620386924,0.19032534908328158
12,0.8106781999641132,0.44489431021537507,0.43163570151175723,0.4490794604615483,0.3901335691348257
13,0.8669180056853693,0.0,0.0,0.0,0.0
14,0.9754321142284569,0.15280363218293913,0.8918447768190674,0.9864333057166529,0.45167285968086707
16,0.6864557271208931,0.0,0.0,0.0,0.0
17,0.9253369067785897,0.0,0.0,0.0,0.0
18,0.9043809261886755,0.7968547897473801,0.5062522181201403,0.7270512446845877,0.47486183398615656
19,0.8033896446870737,0.0,1.280065539355615e-05,0.9334036563900967,0.0
20,0.7876025044781515,0.0,0.0,0.0,0.0
