,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,145685,9,83,0,5,0,0,87,3545,2824,62,205,1,1186,336,315,3444,2213
1,282,158593,2,0,0,0,0,899,27,12,3,43,0,13,0,0,18,108
2,1579,2,157925,0,0,0,0,259,63,50,0,19,0,10,1,3,52,37
4,0,0,0,157877,0,0,0,0,0,2115,0,0,5,0,3,0,0,0
5,12,0,0,0,158015,0,0,4,18,3,1894,1,0,0,0,3,0,50
6,2,0,0,0,0,159996,0,0,0,2,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,159992,0,0,0,6,0,0,0,0,0,2,0
8,3471,517,149,0,1,0,1,150219,824,87,3052,1263,0,80,29,10,137,160
10,16505,0,10,0,2,0,0,128,138557,565,528,149,0,1772,103,46,855,780
11,12018,2,5,8569,1,0,0,11,519,137046,26,31,115,122,513,31,709,282
12,1351,2,2,0,666,0,0,493,1473,68,150044,334,0,90,24,4894,77,482
13,7005,5,9,0,16,0,0,1701,1540,184,2206,146510,5,133,116,166,252,152
14,41,0,0,0,0,0,0,0,2,266,0,0,157549,0,2129,0,12,1
16,14026,1,6,0,1,0,0,27,9974,531,70,32,0,133774,61,19,981,497
17,6552,0,2,0,0,0,0,10,377,969,28,17,1303,93,150226,16,234,173
18,8190,1,6,0,32,0,0,13,277,149,1870,13,0,84,14,148959,240,152
19,7067,0,13,0,0,0,0,6,523,967,10,20,2,1505,196,35,149227,429
20,12391,1,4,0,9,0,0,21,1555,444,192,13,0,229,50,62,525,144504
