fault_class,samples,accuracy,detection_rate,avg_confidence,most_confused_with,confusion_rate,detection_latency_steps,detection_latency_minutes
0,96,0.3854166666666667,0.3854166666666667,0.6319719903791944,8,0.4270833333333333,,
1,11,0.2727272727272727,0.2727272727272727,0.7421241510998119,8,0.5454545454545454,5.0,15.0
2,11,0.18181818181818182,0.18181818181818182,0.696909939700907,0,0.45454545454545453,9.0,27.0
5,11,0.7272727272727273,0.7272727272727273,0.8509872962128032,12,0.18181818181818182,2.0,6.0
10,11,0.0,0.0,0.66148442029953,8,0.45454545454545453,,
17,11,0.0,0.0,0.6491055705330588,8,0.45454545454545453,,
