Model,Type,Accuracy,F1 (weighted),Fault Detection Recall
XGBoost,Classifier,0.33112582781456956,0.395852430534089,0.7090909090909091
LSTM,Classifier,0.41721854304635764,0.4291286388549614,0.6727272727272727
LSTM-FCN,Classifier,0.31788079470198677,0.39602649006622515,0.8727272727272727
CNN-Transformer,Classifier,0.3509933774834437,0.4104354806341561,0.6909090909090909
TransKal,Classifier,0.33112582781456956,0.38640807316304,1.0
LSTM-Autoencoder,Anomaly Detector,0.609271523178808,0.650887573964497,1.0
Conv-Autoencoder,Anomaly Detector,0.6225165562913907,0.6586826347305389,1.0
