,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,153111,9,94,0,5,0,0,104,3344,423,62,247,1,1022,353,339,140,746
1,308,158571,2,0,0,0,0,919,19,15,2,45,0,18,0,0,15,86
2,1636,2,157936,0,0,0,0,258,62,31,0,22,0,14,1,3,13,22
4,0,0,0,159196,0,0,0,0,0,796,0,0,5,0,3,0,0,0
5,12,0,0,0,158043,0,0,3,9,3,1878,1,0,0,0,2,0,49
6,3,0,0,0,0,159996,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,159992,0,0,0,6,0,0,0,0,0,2,0
8,3582,492,155,0,1,0,1,151349,629,39,2368,1092,0,94,31,10,42,115
10,14589,0,14,0,2,0,0,159,142515,192,366,208,0,1251,121,52,119,412
11,5996,2,5,4830,1,0,0,12,372,147770,32,37,115,152,155,40,176,305
12,1352,2,3,0,595,0,0,309,997,63,151615,393,0,103,27,4173,52,316
13,7366,5,11,0,19,0,0,1483,1304,64,1537,147670,5,143,121,156,45,71
14,44,0,0,0,0,0,0,0,2,254,0,0,159602,0,86,0,11,1
16,9794,1,7,0,1,0,0,34,3851,199,61,40,0,145548,83,24,113,244
17,6104,0,2,0,0,0,0,12,351,310,29,20,275,99,152562,17,104,115
18,8554,1,7,0,26,0,0,15,281,43,1567,14,0,77,14,149325,25,51
19,635,0,13,0,0,0,0,6,200,94,11,21,2,158,209,37,158151,463
20,9055,1,4,0,9,0,0,30,1004,137,196,17,0,285,56,74,91,149041
