,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,0,0,0,0,0,0,0,0,0,140243,505,0,11652,0,0,0,0,0
1,0,152400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,152272,0,0,0,0,0,0,1,0,0,0,0,0,127,0,0
4,0,0,0,0,0,0,0,0,0,144826,175,0,7399,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,102850,24896,0,24654,0,0,0,0,0
6,0,668,0,0,0,147497,0,0,0,0,8,0,0,0,0,4227,0,0
7,0,0,0,0,0,0,0,0,0,68571,48459,0,33383,0,0,1987,0,0
8,0,14748,6717,0,0,3804,0,0,0,23193,76850,0,19933,0,0,7136,19,0
10,0,0,0,0,0,0,0,0,0,102313,18803,0,31284,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,138029,590,0,13781,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1876,133618,0,5158,0,0,11748,0,0
13,0,1479,1671,0,0,18082,0,0,0,17310,99535,0,9629,0,0,4690,4,0
14,0,0,0,0,0,0,0,0,0,118540,1231,0,32629,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,121990,6926,0,23484,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,146900,16,0,5484,0,0,0,0,0
18,0,1,0,0,0,3,0,0,0,3841,26187,0,1619,0,0,120749,0,0
19,0,0,0,0,0,0,0,0,0,136252,650,0,15498,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,103492,9824,0,39084,0,0,0,0,0
